"model_key","model","noise_type","strength","test_accuracy","test_macro_f1","accuracy_drop","macro_f1_drop","train_seconds"
"xgboost","XGBoost","label","0.05","0.92583120204603586","0.93694321031981187","0.00036536353671901","0.00093033796870878316","2.025099600003159"
"xgboost","XGBoost","label","0.1","0.92546583850931685","0.93684321031981188","0.00073072707343802","0.0010303379687087721","2.059419599994726"
"xgboost","XGBoost","label","0.2","0.92400438436244059","0.93482458738618146","0.0021921812203142821","0.0030489609023391928","2.009545699998853"
"handmade_gnb","手写高斯朴素贝叶斯","gaussian","0.05","0.83156740957252473","0.83755005407448","0.00036536353671901","9.9999999999988987E-05","0.009544200001982972"
"handmade_gnb","手写高斯朴素贝叶斯","gaussian","0.1","0.82718304713189628","0.83307087043743955","0.0047497259773474632","0.0045791836370404626","0.005328599996573757"
"handmade_gnb","手写高斯朴素贝叶斯","gaussian","0.2","0.81439532334673","0.81706846322223792","0.0175374497625137","0.020581590852242093","0.005351799998607021"
"handmade_gnb","手写高斯朴素贝叶斯","impulse","0.01","0.83156740957252473","0.83755005407448","0.00036536353671901","9.9999999999988987E-05","0.00475150000420399"
"handmade_gnb","手写高斯朴素贝叶斯","impulse","0.03","0.83120204603580572","0.83745005407448","0.00073072707343802","0.00019999999999997797","0.004756800000905059"
"handmade_gnb","手写高斯朴素贝叶斯","impulse","0.05","0.82974059188892946","0.83030453273227223","0.0021921812203142821","0.0073455213422077836","0.00460179999936372"
"handmade_gnb","手写高斯朴素贝叶斯","missing","0.05","0.83010595542564847","0.83281784178820861","0.0018268176835952721","0.0048322122862713979","0.004625800000212621"
"handmade_gnb","手写高斯朴素贝叶斯","missing","0.1","0.82827913774205331","0.8270998456687042","0.0036536353671904331","0.010550208405775807","0.004535699998086784"
"handmade_gnb","手写高斯朴素贝叶斯","missing","0.2","0.81512605042016806","0.808172843933581","0.016806722689075682","0.029477210140898991","0.00470820000191452"
"handmade_gnb","手写高斯朴素贝叶斯","label","0.05","0.8279137742053343","0.81974123002158772","0.0040189989039094431","0.017908824052892292","0.005078300004242919"
"handmade_gnb","手写高斯朴素贝叶斯","label","0.1","0.79722323712093535","0.78757807754372033","0.034709535988308393","0.050071976530759676","0.004927699999825563"
"handmade_gnb","手写高斯朴素贝叶斯","label","0.2","0.78662769455608328","0.77222246410936835","0.045305078553160461","0.065427589965111665","0.0048679000028641894"
